#Acq. time (s)=	15
#Accumulations=	4
#Range (cm-¹)=	50...4000
#Windows=	3
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	5%
#Laser=	532nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	120523
#Site=	ap
#Title=	mz
#Remark=	5 laser intensity
#Date=	12.05.2023 16:56
#Acquired=	12.05.2023 16:56:50
51.0297	26
52.8754	30.5915
54.7185	35.8496
56.5635	38.4411
58.406	50.3659
60.2502	66.9574
62.0919	92.2156
63.9355	125.474
65.7765	144.065
67.6193	182.657
69.4595	207.248
71.3016	249.173
73.1412	293.764
74.9825	341.023
76.8214	365.614
78.662	388.872
80.5001	404.797
82.34	430.055
84.1774	463.313
86.0166	469.238
87.8532	485.83
89.6917	489.088
91.5276	470.346
93.3632	488.937
95.2006	479.529
97.0355	486.787
98.8721	476.045
100.706	477.97
102.54	487.895
104.376	488.486
106.209	505.744
108.041	526.336
109.876	502.927
111.708	506.186
113.542	495.444
115.373	508.702
117.204	491.293
119.036	498.551
120.867	502.476
122.697	496.401
124.526	478.993
126.357	494.251
128.186	482.842
130.014	488.767
131.845	493.358
133.672	486.617
135.5	495.875
137.327	502.466
139.155	499.058
140.982	504.316
142.807	494.907
144.633	496.165
146.46	512.757
148.285	496.682
150.11	493.94
151.934	511.865
153.757	508.456
155.583	495.714
157.406	524.973
159.229	502.897
161.051	519.489
162.873	488.08
164.697	500.005
166.518	497.263
168.339	515.188
170.159	482.446
171.98	503.704
173.799	508.963
175.619	474.887
177.44	516.146
179.259	495.404
181.077	485.995
182.895	493.92
184.713	486.511
186.53	494.436
188.347	503.694
190.164	493.619
191.98	515.544
193.796	488.802
195.612	506.06
197.427	499.985
199.242	520.577
201.059	495.168
202.873	511.093
204.686	487.018
206.5	500.943
208.313	503.534
210.126	506.126
211.938	485.384
213.75	501.975
215.562	477.9
217.373	493.158
219.184	493.083
220.993	493.674
222.803	494.266
224.613	488.857
226.422	472.782
228.232	486.04
230.04	488.632
231.849	455.223
233.657	480.481
235.465	469.073
237.272	478.998
239.079	480.922
240.886	460.847
242.693	482.772
244.497	480.03
246.302	493.288
248.108	490.547
249.913	491.805
251.717	488.396
253.521	480.321
255.325	489.579
257.127	492.171
258.93	469.429
260.733	486.02
262.535	465.945
264.338	489.203
266.137	473.795
267.939	472.386
269.74	478.978
271.541	485.569
273.341	491.494
275.139	473.419
276.939	473.344
278.738	468.602
280.537	478.527
282.334	474.451
284.132	483.043
285.93	470.301
287.728	469.559
289.523	478.817
291.32	473.409
293.117	478
294.911	473.925
296.707	463.183
298.502	477.775
300.295	467.033
302.09	483.624
303.885	480.216
305.677	481.474
307.47	480.065
309.264	489.99
311.055	501.248
312.848	495.84
314.64	485.765
316.43	479.023
318.222	478.948
320.011	489.539
321.802	480.131
323.593	484.722
325.381	490.647
327.171	485.905
328.958	495.83
330.748	482.421
332.535	485.68
334.323	495.604
336.109	495.529
337.897	486.787
339.685	465.379
341.47	492.637
343.257	493.895
